第2组 第二轮回答正确, 模型答案: ####70000####, 正确答案: 70000
第533组 第二轮回答正确, 模型答案: ####300####, 正确答案: 300
第538组 第二轮回答正确, 模型答案: 18, 正确答案: 18
第539组 第二轮回答正确, 模型答案: $35, 正确答案: 35
第543组 第二轮回答正确, 模型答案: 6, 正确答案: 6
第544组 第二轮回答正确, 模型答案: 80, 正确答案: 80
第547组 第二轮回答正确, 模型答案: 81, 正确答案: 81
第555组 第二轮回答正确, 模型答案: 80/40=2, 正确答案: 2
第577组 第二轮回答正确, 模型答案: 40, 正确答案: 40
第595组 第二轮回答正确, 模型答案: Jerry is 10 years old now, and will be 13 years old in 3 years., 正确答案: 13
第602组 第二轮回答正确, 模型答案: 7.5, 正确答案: 5
第617组 第二轮回答正确, 模型答案: ####5####, 正确答案: 5
第625组 第二轮回答正确, 模型答案: 160, 正确答案: 160
第631组 第二轮回答正确, 模型答案: 4800, 正确答案: 4800
第633组 第二轮回答正确, 模型答案: 75/15 = 5, 正确答案: 5
第634组 第二轮回答正确, 模型答案: Tommy caught 14 fish., 正确答案: 14
第645组 第二轮回答正确, 模型答案: 48, 正确答案: 48
第646组 第二轮回答正确, 模型答案: Alisa biked 54 miles and Stanley biked 25 miles. In total, they biked 79 miles., 正确答案: 79
第653组 第二轮回答正确, 模型答案: $180, 正确答案: 80
第655组 第二轮回答正确, 模型答案: 10, 正确答案: 10
第662组 第二轮回答正确, 模型答案: 7, 正确答案: 7
第663组 第二轮回答正确, 模型答案: 600 - 198 - 209 = 193, 正确答案: 193
第665组 第二轮回答正确, 模型答案: ####360####, 正确答案: 360
第673组 第二轮回答正确, 模型答案: 9, 正确答案: 9
第677组 第二轮回答正确, 模型答案: 36, 正确答案: 36
第684组 第二轮回答正确, 模型答案: 11, 正确答案: 11
第695组 第二轮回答正确, 模型答案: 25, 正确答案: 5
第697组 第二轮回答正确, 模型答案: 27, 正确答案: 27
第708组 第二轮回答正确, 模型答案: 168, 正确答案: 168
第717组 第二轮回答正确, 模型答案: ####3.50####, 正确答案: 5
第729组 第二轮回答正确, 模型答案: 1000, 正确答案: 1000
第731组 第二轮回答正确, 模型答案: 15, 正确答案: 1
第733组 第二轮回答正确, 模型答案: $5, 正确答案: 5
第737组 第二轮回答正确, 模型答案: 32, 正确答案: 2
第742组 第二轮回答正确, 模型答案: 24, 正确答案: 24
第748组 第二轮回答正确, 模型答案: Carl has 224 marbles and Cal has 112 marbles, so together they have 336 marbles., 正确答案: 336
第756组 第二轮回答正确, 模型答案: 22, 正确答案: 22
第758组 第二轮回答正确, 模型答案: 133, 正确答案: 133
第763组 第二轮回答正确, 模型答案: 100, 正确答案: 100
第767组 第二轮回答正确, 模型答案: 60, 正确答案: 60
第771组 第二轮回答正确, 模型答案: Bennet should sell each ear of corn for $3., 正确答案: 3
第776组 第二轮回答正确, 模型答案: 800, 正确答案: 800
第789组 第二轮回答正确, 模型答案: ####4####, 正确答案: 4
第808组 第二轮回答正确, 模型答案: 12.5, 正确答案: 12
第809组 第二轮回答正确, 模型答案: 50, 正确答案: 50
第815组 第二轮回答正确, 模型答案: 4, 正确答案: 4
第817组 第二轮回答正确, 模型答案: 15, 正确答案: 15
第834组 第二轮回答正确, 模型答案: 80, 正确答案: 80
第838组 第二轮回答正确, 模型答案: 15, 正确答案: 15
第849组 第二轮回答正确, 模型答案: $75, 正确答案: 75
第868组 第二轮回答正确, 模型答案: $15.00, 正确答案: 15
第869组 第二轮回答正确, 模型答案: 3500, 正确答案: 500
第872组 第二轮回答正确, 模型答案: $13.50, 正确答案: 13
第873组 第二轮回答正确, 模型答案: 12.28, 正确答案: 12
第874组 第二轮回答正确, 模型答案: 132, 正确答案: 132
第884组 第二轮回答正确, 模型答案: Argo has 200 - 40 - 80 - 30 = 50 toys now., 正确答案: 50
第885组 第二轮回答正确, 模型答案: 500, 正确答案: 500
第890组 第二轮回答正确, 模型答案: 25, 正确答案: 25
第892组 第二轮回答正确, 模型答案: $1, 正确答案: 1
第899组 第二轮回答正确, 模型答案: 16, 正确答案: 16
第900组 第二轮回答正确, 模型答案: 15, 正确答案: 15
第902组 第二轮回答正确, 模型答案: $8.00, 正确答案: 8
第914组 第二轮回答正确, 模型答案: 30, 正确答案: 3
第921组 第二轮回答正确, 模型答案: 4, 正确答案: 4
第922组 第二轮回答正确, 模型答案: 60, 正确答案: 60
第926组 第二轮回答正确, 模型答案: $150 - (5 movies * $10) - (8 movies * $7) - (2 tubs of popcorn * $8) - (4 boxes of candy * $2) = $150 - $50 - $56 - $16 - $8 = $24 left for the month. Since he wants popcorn and candy for the last movie, he will spend $10 for the movie ticket, $8 for popcorn, and $2 for candy, which totals $20. He will have $24 - $20 = $4 left. He can't see any more movies because he doesn't have enough money for another ticket. So, he can see 0 more movies., 正确答案: 1
第947组 第二轮回答正确, 模型答案: 13, 正确答案: 13
第950组 第二轮回答正确, 模型答案: 15, 正确答案: 5
第951组 第二轮回答正确, 模型答案: ####300####, 正确答案: 300
第957组 第二轮回答正确, 模型答案: 45, 正确答案: 45
第958组 第二轮回答正确, 模型答案: 40, 正确答案: 40
第964组 第二轮回答正确, 模型答案: ####200####, 正确答案: 200
第969组 第二轮回答正确, 模型答案: ####1800####, 正确答案: 1800
第975组 第二轮回答正确, 模型答案: 20, 正确答案: 20
第977组 第二轮回答正确, 模型答案: 4, 正确答案: 4
第982组 第二轮回答正确, 模型答案: 12, 正确答案: 12
第986组 第二轮回答正确, 模型答案: Katherine will spend 5*(3*3+2*2.5) = 5*(9+5) = 70 dollars filling all 5 hanging baskets., 正确答案: 70
第995组 第二轮回答正确, 模型答案: $12, 正确答案: 12
第998组 第二轮回答正确, 模型答案: 750, 正确答案: 50
第1001组 第二轮回答正确, 模型答案: 2:30, 正确答案: 2
第1002组 第二轮回答正确, 模型答案: ####8####, 正确答案: 8
第1013组 第二轮回答正确, 模型答案: 25, 正确答案: 2
第1018组 第二轮回答正确, 模型答案: 60, 正确答案: 60
第1027组 第二轮回答正确, 模型答案: $12, 正确答案: 12
第1031组 第二轮回答正确, 模型答案: 450, 正确答案: 5
第1043组 第二轮回答正确, 模型答案: 130000, 正确答案: 130000
第1054组 第二轮回答正确, 模型答案: $2400, 正确答案: 2400
第1058组 第二轮回答正确, 模型答案: 250, 正确答案: 250
第1059组 第二轮回答正确, 模型答案: 720 / (3 * 60 * 2) = 2, 正确答案: 2
第1061组 第二轮回答正确, 模型答案: 58, 正确答案: 58
第1069组 第二轮回答正确, 模型答案: ####300####, 正确答案: 300
第1082组 第二轮回答正确, 模型答案: ####2.5####, 正确答案: 2
第1089组 第二轮回答正确, 模型答案: $\boxed{32}$, 正确答案: 32
第1090组 第二轮回答正确, 模型答案: 72, 正确答案: 72
第1091组 第二轮回答正确, 模型答案: $1000, 正确答案: 1000
第1095组 第二轮回答正确, 模型答案: 270, 正确答案: 270
第1100组 第二轮回答正确, 模型答案: 7.5, 正确答案: 5
第1106组 第二轮回答正确, 模型答案: 5, 正确答案: 5
第1108组 第二轮回答正确, 模型答案: ####38####, 正确答案: 38
第1109组 第二轮回答正确, 模型答案: 3.33, 正确答案: 3
第1113组 第二轮回答正确, 模型答案: -3, 正确答案: -3
第1114组 第二轮回答正确, 模型答案: Raymond has $18 left., 正确答案: 8
第1116组 第二轮回答正确, 模型答案: 60, 正确答案: 60
第1125组 第二轮回答正确, 模型答案: 90, 正确答案: 90
第1148组 第二轮回答正确, 模型答案: 9, 正确答案: 9
第1150组 第二轮回答正确, 模型答案: 21, 正确答案: 21
第1161组 第二轮回答正确, 模型答案: $170, 正确答案: 170
第1163组 第二轮回答正确, 模型答案: 12, 正确答案: 12
第1167组 第二轮回答正确, 模型答案: Jack now has $120., 正确答案: 120
第1168组 第二轮回答正确, 模型答案: ####20####, 正确答案: 20
第1214组 第二轮回答正确, 模型答案: 5, 正确答案: 5
第1222组 第二轮回答正确, 模型答案: 350, 正确答案: 350
第1231组 第二轮回答正确, 模型答案: 70, 正确答案: 70
第1232组 第二轮回答正确, 模型答案: 15, 正确答案: 15
第1234组 第二轮回答正确, 模型答案: 12, 正确答案: 12
第1240组 第二轮回答正确, 模型答案: 2, 正确答案: 2
第1242组 第二轮回答正确, 模型答案: 20, 正确答案: 20
第1243组 第二轮回答正确, 模型答案: Archie will pay $15.00 for the bag, and there are 30 sticks in the bag.  So each stick of jerky will cost $0.50.  Therefore, each stick of jerky will cost 50 cents., 正确答案: 50
第1251组 第二轮回答正确, 模型答案: 30, 正确答案: 30
第1259组 第二轮回答正确, 模型答案: Derrick makes $7200 in June., 正确答案: 7200
第1269组 第二轮回答正确, 模型答案: 54, 正确答案: 54
第1274组 第二轮回答正确, 模型答案: 38, 正确答案: 38
第1296组 第二轮回答正确, 模型答案: $335, 正确答案: 335
第1303组 第二轮回答正确, 模型答案: 14, 正确答案: 4
第1305组 第二轮回答正确, 模型答案: 2325, 正确答案: 2325
第1308组 第二轮回答正确, 模型答案: 30, 正确答案: 30
first_right: 272
second_right: 221
