第2组 第一轮回答正确, 模型答案: ####3####, 正确答案: 3
第135组 第一轮回答正确, 模型答案: ####720####, 正确答案: 720
第141组 第一轮回答正确, 模型答案: ####20%####, 正确答案: 20
第143组 第一轮回答正确, 模型答案: ####140####, 正确答案: 140
第149组 第一轮回答正确, 模型答案: ####30####, 正确答案: 30
第150组 第一轮回答正确, 模型答案: ####16####, 正确答案: 16
第152组 第一轮回答正确, 模型答案: ####8.75####, 正确答案: 5
第153组 第一轮回答正确, 模型答案: ####3.40####, 正确答案: 4
第154组 第一轮回答正确, 模型答案: ####48####, 正确答案: 48
第159组 第一轮回答正确, 模型答案: ####34####, 正确答案: 34
第167组 第一轮回答正确, 模型答案: ####15####, 正确答案: 5
第168组 第一轮回答正确, 模型答案: ####16####, 正确答案: 16
第171组 第一轮回答正确, 模型答案: ####150####, 正确答案: 150
第176组 第一轮回答正确, 模型答案: ####15####, 正确答案: 15
第180组 第一轮回答正确, 模型答案: ####130####, 正确答案: 130
第181组 第一轮回答正确, 模型答案: ####20####, 正确答案: 20
第182组 第一轮回答正确, 模型答案: ####160####, 正确答案: 160
第188组 第一轮回答正确, 模型答案: ####106.00####, 正确答案: 106
第191组 第一轮回答正确, 模型答案: ####360####, 正确答案: 360
第192组 第一轮回答正确, 模型答案: ####15.75####, 正确答案: 5
第195组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第198组 第一轮回答正确, 模型答案: ####6277####, 正确答案: 6277
第200组 第一轮回答正确, 模型答案: ####7500####, 正确答案: 7500
第203组 第一轮回答正确, 模型答案: ####100####, 正确答案: 100
第213组 第一轮回答正确, 模型答案: ####1.5####, 正确答案: 5
第214组 第一轮回答正确, 模型答案: ####250####, 正确答案: 250
第226组 第一轮回答正确, 模型答案: ####9####, 正确答案: 9
第228组 第一轮回答正确, 模型答案: ####9.25####, 正确答案: 9
第233组 第一轮回答正确, 模型答案: ####75####, 正确答案: 75
第234组 第一轮回答正确, 模型答案: ####12####, 正确答案: 12
第236组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第238组 第一轮回答正确, 模型答案: ####90####, 正确答案: 90
第242组 第一轮回答正确, 模型答案: ####6####, 正确答案: 6
第249组 第一轮回答正确, 模型答案: ####300####, 正确答案: 300
第252组 第一轮回答正确, 模型答案: ####70####, 正确答案: 70
第270组 第一轮回答正确, 模型答案: ####4####, 正确答案: 4
第272组 第一轮回答正确, 模型答案: ####20####, 正确答案: 20
第273组 第一轮回答正确, 模型答案: ####5.60####, 正确答案: 5
第297组 第一轮回答正确, 模型答案: ####3####, 正确答案: 3
第306组 第一轮回答正确, 模型答案: ####4####, 正确答案: 4
第307组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第308组 第一轮回答正确, 模型答案: ####16####, 正确答案: 16
第309组 第一轮回答正确, 模型答案: ####6.0####, 正确答案: 6
第310组 第一轮回答正确, 模型答案: ####8####, 正确答案: 8
第318组 第一轮回答正确, 模型答案: ####120####, 正确答案: 12
第320组 第一轮回答正确, 模型答案: ####15####, 正确答案: 15
第322组 第一轮回答正确, 模型答案: ####1####, 正确答案: 1
第325组 第一轮回答正确, 模型答案: ####14####, 正确答案: 14
第329组 第一轮回答正确, 模型答案: ####2####, 正确答案: 2
第330组 第一轮回答正确, 模型答案: ####14####, 正确答案: 14
第333组 第一轮回答正确, 模型答案: ####44####, 正确答案: 44
第335组 第一轮回答正确, 模型答案: ####6####, 正确答案: 6
第336组 第一轮回答正确, 模型答案: ####310####, 正确答案: 310
第338组 第一轮回答正确, 模型答案: ####1####, 正确答案: 1
第339组 第一轮回答正确, 模型答案: ####60####, 正确答案: 60
第345组 第一轮回答正确, 模型答案: ####2####, 正确答案: 2
第348组 第一轮回答正确, 模型答案: ####36####, 正确答案: 36
第366组 第一轮回答正确, 模型答案: ####18####, 正确答案: 18
第367组 第一轮回答正确, 模型答案: ####9####, 正确答案: 9
第371组 第一轮回答正确, 模型答案: ####320####, 正确答案: 320
第374组 第一轮回答正确, 模型答案: ####240000####, 正确答案: 240000
第380组 第一轮回答正确, 模型答案: ####21####, 正确答案: 21
第391组 第一轮回答正确, 模型答案: ####12####, 正确答案: 12
第392组 第一轮回答正确, 模型答案: ####15####, 正确答案: 15
第400组 第一轮回答正确, 模型答案: ####12####, 正确答案: 12
第401组 第一轮回答正确, 模型答案: ####48####, 正确答案: 48
第414组 第一轮回答正确, 模型答案: ####125####, 正确答案: 25
第435组 第一轮回答正确, 模型答案: ####5####, 正确答案: 5
第436组 第一轮回答正确, 模型答案: ####5####, 正确答案: 5
第437组 第一轮回答正确, 模型答案: ####15####, 正确答案: 15
第450组 第一轮回答正确, 模型答案: ####112####, 正确答案: 112
第451组 第一轮回答正确, 模型答案: ####4####, 正确答案: 4
第475组 第一轮回答正确, 模型答案: ####80####, 正确答案: 80
第483组 第一轮回答正确, 模型答案: ####26####, 正确答案: 26
第484组 第一轮回答正确, 模型答案: ####40####, 正确答案: 40
第491组 第一轮回答正确, 模型答案: ####4####, 正确答案: 4
第492组 第一轮回答正确, 模型答案: ####16####, 正确答案: 16
第493组 第一轮回答正确, 模型答案: ####32####, 正确答案: 32
第500组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第505组 第一轮回答正确, 模型答案: ####2####, 正确答案: 2
第512组 第一轮回答正确, 模型答案: ####110####, 正确答案: 110
第515组 第一轮回答正确, 模型答案: ####90000####, 正确答案: 90000
第517组 第一轮回答正确, 模型答案: ####375####, 正确答案: 375
第518组 第一轮回答正确, 模型答案: ####18####, 正确答案: 18
第527组 第一轮回答正确, 模型答案: ####21.00####, 正确答案: 21
第539组 第一轮回答正确, 模型答案: ####18####, 正确答案: 18
第541组 第一轮回答正确, 模型答案: ####39####, 正确答案: 39
第544组 第一轮回答正确, 模型答案: ####6####, 正确答案: 6
第545组 第一轮回答正确, 模型答案: ####80####, 正确答案: 80
第546组 第一轮回答正确, 模型答案: ####30####, 正确答案: 30
第548组 第一轮回答正确, 模型答案: ####81####, 正确答案: 81
第567组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第568组 第一轮回答正确, 模型答案: ####9.50####, 正确答案: 9
第579组 第一轮回答正确, 模型答案: ####48####, 正确答案: 48
第595组 第一轮回答正确, 模型答案: ####42####, 正确答案: 42
第598组 第一轮回答正确, 模型答案: ####90####, 正确答案: 90
第601组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第608组 第一轮回答正确, 模型答案: ####100####, 正确答案: 10
第617组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第618组 第一轮回答正确, 模型答案: ####5####, 正确答案: 5
第626组 第一轮回答正确, 模型答案: ####160####, 正确答案: 160
第627组 第一轮回答正确, 模型答案: ####0.72####, 正确答案: 72
第634组 第一轮回答正确, 模型答案: ####1.5####, 正确答案: 5
第646组 第一轮回答正确, 模型答案: ####48####, 正确答案: 48
第654组 第一轮回答正确, 模型答案: ####180####, 正确答案: 80
第656组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第664组 第一轮回答正确, 模型答案: ####193####, 正确答案: 193
第665组 第一轮回答正确, 模型答案: ####32####, 正确答案: 32
第666组 第一轮回答正确, 模型答案: ####360####, 正确答案: 360
第669组 第一轮回答正确, 模型答案: ####3####, 正确答案: 3
第677组 第一轮回答正确, 模型答案: ####240####, 正确答案: 240
第678组 第一轮回答正确, 模型答案: ####36####, 正确答案: 36
第681组 第一轮回答正确, 模型答案: ####20####, 正确答案: 20
第683组 第一轮回答正确, 模型答案: ####80####, 正确答案: 80
第685组 第一轮回答正确, 模型答案: ####11####, 正确答案: 11
第686组 第一轮回答正确, 模型答案: ####14####, 正确答案: 14
第696组 第一轮回答正确, 模型答案: ####5####, 正确答案: 5
第709组 第一轮回答正确, 模型答案: ####168####, 正确答案: 168
第712组 第一轮回答正确, 模型答案: ####6####, 正确答案: 6
第713组 第一轮回答正确, 模型答案: ####14####, 正确答案: 14
第716组 第一轮回答正确, 模型答案: ####385000####, 正确答案: 385000
第718组 第一轮回答正确, 模型答案: ####1.45####, 正确答案: 5
第721组 第一轮回答正确, 模型答案: ####4####, 正确答案: 4
第723组 第一轮回答正确, 模型答案: ####255####, 正确答案: 255
第734组 第一轮回答正确, 模型答案: ####5####, 正确答案: 5
第741组 第一轮回答正确, 模型答案: ####25####, 正确答案: 25
第743组 第一轮回答正确, 模型答案: ####24####, 正确答案: 24
第757组 第一轮回答正确, 模型答案: ####22####, 正确答案: 22
第759组 第一轮回答正确, 模型答案: ####133.00####, 正确答案: 133
第760组 第一轮回答正确, 模型答案: ####60000####, 正确答案: 60000
第764组 第一轮回答正确, 模型答案: ####100####, 正确答案: 100
第767组 第一轮回答正确, 模型答案: ####12####, 正确答案: 12
第768组 第一轮回答正确, 模型答案: ####60####, 正确答案: 60
第777组 第一轮回答正确, 模型答案: ####800####, 正确答案: 800
第789组 第一轮回答正确, 模型答案: ####100####, 正确答案: 100
第791组 第一轮回答正确, 模型答案: ####108####, 正确答案: 108
第799组 第一轮回答正确, 模型答案: ####20####, 正确答案: 20
第803组 第一轮回答正确, 模型答案: ####6####, 正确答案: 6
第810组 第一轮回答正确, 模型答案: ####50####, 正确答案: 50
第818组 第一轮回答正确, 模型答案: ####15####, 正确答案: 15
第834组 第一轮回答正确, 模型答案: ####3240####, 正确答案: 40
第835组 第一轮回答正确, 模型答案: ####80####, 正确答案: 80
第840组 第一轮回答正确, 模型答案: ####2####, 正确答案: 2
第845组 第一轮回答正确, 模型答案: ####180####, 正确答案: 180
第848组 第一轮回答正确, 模型答案: ####975####, 正确答案: 975
第849组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第858组 第一轮回答正确, 模型答案: ####14000####, 正确答案: 14000
第865组 第一轮回答正确, 模型答案: ####80####, 正确答案: 80
第869组 第一轮回答正确, 模型答案: ####15.00####, 正确答案: 15
第874组 第一轮回答正确, 模型答案: ####12.30####, 正确答案: 12
第875组 第一轮回答正确, 模型答案: ####132####, 正确答案: 132
第880组 第一轮回答正确, 模型答案: ####575####, 正确答案: 575
第881组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第883组 第一轮回答正确, 模型答案: ####25####, 正确答案: 5
第885组 第一轮回答正确, 模型答案: ####50####, 正确答案: 50
第886组 第一轮回答正确, 模型答案: ####500####, 正确答案: 500
第887组 第一轮回答正确, 模型答案: ####20####, 正确答案: 20
第889组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第893组 第一轮回答正确, 模型答案: ####1.5####, 正确答案: 1
第900组 第一轮回答正确, 模型答案: ####16####, 正确答案: 16
第906组 第一轮回答正确, 模型答案: ####5####, 正确答案: 5
第907组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第908组 第一轮回答正确, 模型答案: ####16####, 正确答案: 16
第913组 第一轮回答正确, 模型答案: ####6####, 正确答案: 6
第915组 第一轮回答正确, 模型答案: ####3####, 正确答案: 3
第922组 第一轮回答正确, 模型答案: ####4####, 正确答案: 4
第923组 第一轮回答正确, 模型答案: ####60####, 正确答案: 60
第926组 第一轮回答正确, 模型答案: ####2000####, 正确答案: 2000
第941组 第一轮回答正确, 模型答案: ####280####, 正确答案: 280
第948组 第一轮回答正确, 模型答案: ####13####, 正确答案: 13
第952组 第一轮回答正确, 模型答案: ####300####, 正确答案: 300
第958组 第一轮回答正确, 模型答案: ####45####, 正确答案: 45
第959组 第一轮回答正确, 模型答案: ####40####, 正确答案: 40
第961组 第一轮回答正确, 模型答案: ####11####, 正确答案: 11
第965组 第一轮回答正确, 模型答案: ####200####, 正确答案: 200
第970组 第一轮回答正确, 模型答案: ####1800####, 正确答案: 1800
第996组 第一轮回答正确, 模型答案: ####12####, 正确答案: 12
第1002组 第一轮回答正确, 模型答案: ####2:10 pm####, 正确答案: 2
第1003组 第一轮回答正确, 模型答案: ####8####, 正确答案: 8
第1017组 第一轮回答正确, 模型答案: ####138####, 正确答案: 138
第1019组 第一轮回答正确, 模型答案: ####60####, 正确答案: 60
第1029组 第一轮回答正确, 模型答案: ####200####, 正确答案: 200
第1037组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第1039组 第一轮回答正确, 模型答案: ####4####, 正确答案: 4
第1043组 第一轮回答正确, 模型答案: ####-3.5####, 正确答案: 3
第1044组 第一轮回答正确, 模型答案: ####130000####, 正确答案: 130000
第1048组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第1055组 第一轮回答正确, 模型答案: ####2400####, 正确答案: 2400
第1064组 第一轮回答正确, 模型答案: ####320####, 正确答案: 320
第1083组 第一轮回答正确, 模型答案: ####2####, 正确答案: 2
第1084组 第一轮回答正确, 模型答案: ####2.00####, 正确答案: 2
第1085组 第一轮回答正确, 模型答案: ####20####, 正确答案: 20
第1086组 第一轮回答正确, 模型答案: ####26####, 正确答案: 26
第1088组 第一轮回答正确, 模型答案: ####12####, 正确答案: 12
第1090组 第一轮回答正确, 模型答案: ####32####, 正确答案: 32
第1093组 第一轮回答正确, 模型答案: ####1080####, 正确答案: 1080
第1099组 第一轮回答正确, 模型答案: ####30####, 正确答案: 30
第1101组 第一轮回答正确, 模型答案: ####3.75####, 正确答案: 5
第1107组 第一轮回答正确, 模型答案: ####5####, 正确答案: 5
第1108组 第一轮回答正确, 模型答案: ####360####, 正确答案: 360
第1109组 第一轮回答正确, 模型答案: ####38####, 正确答案: 38
第1110组 第一轮回答正确, 模型答案: ####3####, 正确答案: 3
第1114组 第一轮回答正确, 模型答案: ####-3####, 正确答案: -3
第1117组 第一轮回答正确, 模型答案: ####60####, 正确答案: 60
第1121组 第一轮回答正确, 模型答案: ####560####, 正确答案: 560
第1122组 第一轮回答正确, 模型答案: ####35####, 正确答案: 35
第1149组 第一轮回答正确, 模型答案: ####9####, 正确答案: 9
第1151组 第一轮回答正确, 模型答案: ####21####, 正确答案: 21
第1161组 第一轮回答正确, 模型答案: ####1125####, 正确答案: 1125
第1168组 第一轮回答正确, 模型答案: ####120####, 正确答案: 120
第1170组 第一轮回答正确, 模型答案: ####1.2####, 正确答案: 2
第1184组 第一轮回答正确, 模型答案: ####11####, 正确答案: 11
第1188组 第一轮回答正确, 模型答案: ####3.5####, 正确答案: 5
第1195组 第一轮回答正确, 模型答案: ####1200####, 正确答案: 1200
第1196组 第一轮回答正确, 模型答案: ####320####, 正确答案: 320
第1207组 第一轮回答正确, 模型答案: ####40,000####, 正确答案: 40,000
第1215组 第一轮回答正确, 模型答案: ####5####, 正确答案: 5
第1223组 第一轮回答正确, 模型答案: ####350####, 正确答案: 350
第1224组 第一轮回答正确, 模型答案: ####8.6####, 正确答案: 8
第1225组 第一轮回答正确, 模型答案: ####5####, 正确答案: 5
第1233组 第一轮回答正确, 模型答案: ####15####, 正确答案: 15
第1235组 第一轮回答正确, 模型答案: ####12####, 正确答案: 12
第1241组 第一轮回答正确, 模型答案: ####2####, 正确答案: 2
第1246组 第一轮回答正确, 模型答案: ####96####, 正确答案: 96
第1251组 第一轮回答正确, 模型答案: ####22####, 正确答案: 22
第1258组 第一轮回答正确, 模型答案: ####14.00####, 正确答案: 14
第1268组 第一轮回答正确, 模型答案: ####140####, 正确答案: 40
第1275组 第一轮回答正确, 模型答案: ####38####, 正确答案: 38
第1277组 第一轮回答正确, 模型答案: ####70####, 正确答案: 70
第1278组 第一轮回答正确, 模型答案: ####48####, 正确答案: 48
第1281组 第一轮回答正确, 模型答案: ####7####, 正确答案: 7
第1294组 第一轮回答正确, 模型答案: ####140000####, 正确答案: 140000
第1306组 第一轮回答正确, 模型答案: ####2325####, 正确答案: 2325
第1309组 第一轮回答正确, 模型答案: ####30####, 正确答案: 30
第1314组 第一轮回答正确, 模型答案: ####3.2####, 正确答案: 2
第1315组 第一轮回答正确, 模型答案: ####8####, 正确答案: 8
第1317组 第一轮回答正确, 模型答案: ####230####, 正确答案: 230
first_right: 272
second_right: 221
