"设正实数 $x$、$y$ 和 $z$ 满足以下方程组：

$$
\log_2\left(\frac{x}{yz}\right) = \frac{1}{2}
$$
$$
\log_2\left(\frac{y}{xz}\right) = \frac{1}{3}
$$
$$
\log_2\left(\frac{z}{xy}\right) = \frac{1}{4}
$$

则 $\left|\log_2(x^4y^2z^2)\right|$ 的值为 $\frac{m}{n}$，其中 $m$ 和 $n$ 是互素的正整数。求 $m+n$。",15
"求在2×3的方格中填入数字，使得每行从左到右组成的两个三位数之和等于999，且每列从上到下组成的三个两位数之和等于108的不同填法数目。下面的方格是一个示例，因为009 + 990 = 999，且09 + 09 + 90 = 108。

$$
\begin{array}{|c|c|c|} 
\hline 
0 & 0 & 9 \\ 
\hline 
9 & 9 & 0 \\ 
\hline 
\end{array}
$$",55
每天早上，Aya都会去散步，路程全长为10公里，然后她会到一家咖啡店停留。当她以每小时$s$公里的恒定速度行走时，整个行程（包括在咖啡店停留的$t$分钟）共耗时4小时。当她以每小时$s+2$公里的速度行走时，整个行程（包括在咖啡店停留的$t$分钟）共耗时2小时24分钟。若Aya以每小时$s+\frac{1}{2}$公里的速度行走，求整个行程所用的总时间（包括在咖啡店停留的$t$分钟），答案以分钟为单位。,205
设 $N$ 是最大的四位正整数，满足：将它的任意一位数字替换为 $1$ 后，所得的数都能被 $7$ 整除。设 $Q$ 和 $R$ 分别为 $N$ 除以 $1071$ 的商和余数。求 $Q+R$。,344
在8×8的网格中，从左下角出发到右上角，沿网格线行走且总长度为16的路径中，求恰好有十次方向改变的路径数目，示例如下图所示。,1470
x,x
设 $\mathcal{B}$ 为所有表面积等于 $54$ 且体积等于 $27$ 的长方体构成的集合。令 $r$ 表示能够包含 $\mathcal{B}$ 中每个长方体的最小球的半径。已知 $r^2 = \frac{p}{q}$，其中 $p$ 和 $q$ 是互素的正整数，求 $p+q$。,31
找出在固定的正十边形（10条边）内部可以构成的矩形个数，要求每个矩形的边都落在正十边形的边或对角线上。下图展示了其中的三个例子。,125
设△ABC的外心为O，内心为I，若IA与OI垂直，外接圆半径为22，内切圆半径为6。求AB·AC的值。,792
"有一堆共27个不可区分的白色圆片和25个不可区分的黑色圆片。请计算有多少种方式可以将其中一些圆片放入一个5×5的方格中，使得：

- 每个格子最多放一个圆片；
- 同一行内的所有圆片颜色相同，同一列内的所有圆片颜色也相同；
- 无法再在任意空格中添加一个圆片而不违反上述任一条件。",902
设 $b \geq 2$ 为一整数。若一个正整数 $n$ 在基 $b$ 下表示为恰好两个数字，且这两个数字之和等于 $\sqrt{n}$，则称 $n$ 是“$b$\textit{-漂亮}”的。例如，$81$ 是 $13$-漂亮的，因为 $81=\underline{6}\underline{3}_{13}$，且 $6+3=\sqrt{81}$。求最小的整数 $b \geq 2$，使得存在超过十四个 $b$-漂亮数。,211
x,x
设 $A$、$B$、$C$、$D$ 是双曲线 $\frac{x^2}{20} - \frac{y^2}{22} = 1$ 上的点，满足 $ABCD$ 构成一个菱形，且其两条对角线在原点相交。求所有此类菱形中，$BD^2$ 所有可能取值的最大实数下界（即小于所有可能的 $BD^2$ 值的最大实数）。,880
x,x
艾姆维尔镇共有900名居民，其中195人有一枚钻戒，367人有一套高尔夫球杆，562人有一把花园铲，且每位居民都有一袋糖果心。已知有428名居民恰好拥有这四种物品中的两种，234名居民恰好拥有这四种物品中的三种。求该镇中同时拥有这四种物品的居民人数。,76
x,x
环面 $T $ 由一个半径为 $ 3 $ 的圆绕其所在平面内一条与圆心距离为 $ 7 $ 的轴旋转一周形成（形状如甜甜圈）。设 $ S $ 是一个半径为 $ 11 $ 的球体。当环面 $ T $ 置于球体 $ S $ 内部并与之相切时，二者沿一个半径为 $ r_i $ 的圆内切；当环面 $ T $ 置于球体 $ S $ 外部并与之相切时，二者沿一个半径为 $ r_o $ 的圆外切。若差值 $ r_i - r_o $ 可写成 $ \frac{m}{n} $，其中 $ m $ 和 $ n $ 为互素的正整数，求 $ m+n $。,41
设 $ABCD$ 是一个四面体，满足 $AB=CD= \sqrt{29}$，$AC=BD= \sqrt{80}$，且 $BC=AD= \sqrt{89}$。若在四面体内存在一点 $I$，使得点 $I$ 到四面体各个面的距离均相等，则该距离可表示为 $\frac{m \sqrt{n}}{p}$，其中 $m$、$n$、$p$ 为正整数，$m$ 与 $p$ 互质，且 $n$ 不被任何素数的平方整除。求 $m+n+p$ 的值。,74038
"矩形 $ABCD$ 与 $EFGH$ 满足点 $D, E, C, F$ 共线，且点 $A, D, H, G$ 四点共圆。已知 $BC=16$，$AB=107$，$FG=17$，$EF=184$，求 $CE$ 的长度。",97
"设 $\omega \neq 1$ 是一个 13 次单位根。求
$$ \prod_{k=0}^{12}(2 - 2\omega^k + \omega^{2k}) $$ 被 908 除后的余数。",149
