"问题一：16汽修（2）班总⼈数是50，其中喜欢蓝球的有21⼈，喜欢⽻⽑球的有19⼈，既不喜欢篮球⼜不喜欢⽻⽑球的有15⼈，那么既喜欢篮球⼜喜欢⽻⽑球的有⼏⼈","5","问题二：只喜欢篮球不喜欢羽毛球的有几人？","16"
"问题一：养禽场养鹅600只，养鸭的只数⽐鹅多50%，养禽场养鸭多少只？","900","问题二：养禽场养鸡比养鸭多50%，养禽场养鸡多少只？","1350"
"问题一：已知⼀个实数的两个不同平⽅根是a＋3和2a－3，则该实数是？","9","问题二：该实数是哪个实数的平方根？","81"
"问题一：有⼀块梯形菜地，上底⻓4.5⽶，下底⻓7.5⽶，⾼10⽶，平均每平⽅⽶能收6棵⽩菜，这块地共可以收多少棵⽩菜？","360","问题二：经过11年，这块地一共能收多少颗白菜？","3960"
"问题一：⼀个圆柱的侧⾯积是12.56dm2，⾼是0.5dm，它的底⾯直径是？","8","问题二：如果圆柱的底面直径变为原来的3倍，高不变，π取3.14，则其侧面积为多少dm2？","37.68"
"问题一：买1.5千克藕和4千克南⽠应付多钱？藕4.2元/千克。南⽠1.4元/千克？","11.9","问题二：如果还是用这么多钱，不买南瓜了，而是买1.5千克藕和0.7元/千克的茄子，最多能买多少千克茄子？","8"
"问题一：若$x=1-\frac{1}{m}$是方程mx-2m+2=0的根，则x-m的值为？","-1","问题二：得到的结果加上11m是多少？","10"
"问题一：已知⼀个⻆的补⻆是这个⻆余⻆的8.5倍，这个⻆的⼤⼩为多少度？","78","问题二：这个角补角的二分之一的余角是多少度？","39"
"问题一：某商场五⼀期间举⾏优惠销售活动，采取“满⼀百元送⼆⼗元，并且连环赠送”的酬宾⽅式，即顾客每消费满100元（100元可以是现⾦，也可以是购物券，或⼆者合计）就送20元购物券，满200元就送40元购 物券，依次类推，现有⼀位顾客第⼀次就⽤了16000元购物，并⽤所得购物券继续购物，那么他购回的 商品⼤约相当于它们原价的百分之多少？","80","问题二：如果改为买100送10，那么他购回的 商品⼤约相当于它们原价的百分之多少？结果取整数","35"
"问题一：如果把学校的位置记作0m，从学校出发向东⾛300m有⼀个书店，书店的位置记作+300m，从书店出发向⻄⾛600m有⼀个报亭，报亭的位置记作（ ）m？","-300","问题二：从报亭向西走500m有一个公共厕所，公共厕所的位置记作（ ）m？","-800"
"问题一：⼀根体积为120⽴⽅分⽶的圆柱体⽊料，要把它削成最⼤的圆锥，需要削去多少⽴⽅分⽶的⽊料？","80","问题二：如果把剩下的圆锥继续削成一个高度为原来一半且底面积不变的圆锥，需要削去多少⽴⽅分⽶的⽊料？","20"
"问题一：把20升的纯牛奶喝掉2升，用水添至和原来一样多，则牛奶浓度为百分之多少？","90","问题二：如果将这个加了水的牛奶再喝掉2升，并用水添至和原来一样多，则牛奶浓度为百分之多少？","81"
